# Annotation Gene Product Summary
# Tool: Prokka
# Bins analyzed: 10
# Total CDS: 35219
# Hypothetical proteins: 20031 (56.9% of CDS)
# Annotated CDS: 15188
# Top 100 annotated gene products shown
#
rank	count	percent_of_total_cds	product	gene_name	function	keywords
64	15	0.04%	Tol-Pal system protein TolB	pal	Part of the Tol-Pal system, which plays a role in outer membrane invagination during cell division and is important for maintaining outer membrane integrity (PubMed:11115123, PubMed:17233825).	3D-structure|Cell cycle|Cell division|Cell outer membrane|Lipoprotein|Membrane|Palmitate|Reference proteome|Signal
65	15	0.04%	Ubiquinone biosynthesis O-methyltransferase	ubiG	O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway.	Methyltransferase|S-adenosyl-L-methionine|Transferase|Ubiquinone biosynthesis
66	14	0.04%	Lactose transport system permease protein LacF	lacF	Part of the binding protein-dependent transport system for lactose.	Cell inner membrane|Cell membrane|Membrane|Sugar transport|Transmembrane|Transmembrane helix|Transport
67	14	0.04%	Deoxyribokinase	deoK	Catalyzes the ATP-dependent phosphorylation of 2-deoxy-D-ribose to 2-deoxy-D-ribose 5-phosphate (dRib-5P), allowing the use of deoxyribose as the sole carbon source (PubMed:4376665).	ATP-binding|Carbohydrate metabolism|Cytoplasm|Kinase|Magnesium|Metal-binding|Nucleotide-binding|Potassium|Reference proteome|Transferase
68	14	0.04%	Transcriptional regulatory protein WalR	phoP	Member of the two-component regulatory system PhoP/PhoQ involved in adaptation to low Mg(2+) environments and the control of acid resistance genes.	3D-structure|Activator|Cytoplasm|Direct protein sequencing|DNA-binding|Phosphoprotein|Reference proteome|Repressor|Transcription|Transcription regulation|Two-component regulatory system
69	14	0.04%	4-hydroxy-tetrahydrodipicolinate synthase	dapA	Catalyzes the condensation of (S)-aspartate-beta-semialdehyde [(S)-ASA] and pyruvate to 4-hydroxy-tetrahydrodipicolinate (HTPA).	3D-structure|Amino-acid biosynthesis|Cytoplasm|Diaminopimelate biosynthesis|Lyase|Lysine biosynthesis|Reference proteome|Schiff base
70	14	0.04%	GMP synthase [glutamine-hydrolyzing]	—	—	—
71	14	0.04%	Holliday junction branch migration complex subunit RuvB	ruvA	The RuvA-RuvB-RuvC complex processes Holliday junction (HJ) DNA during genetic recombination and DNA repair (PubMed:21531731, PubMed:6374379).	3D-structure|Cytoplasm|Direct protein sequencing|DNA damage|DNA recombination|DNA repair|DNA-binding|Reference proteome|SOS response
72	14	0.04%	Trehalase	—	Catalyzes the hydrolysis of alpha,alpha-trehalose into two molecules of D-glucose.	Carbohydrate metabolism|Glycosidase|Hydrolase|Reference proteome
73	14	0.04%	Di/tripeptide transport system permease protein DppB	dppB	Part of the ABC transporter DppABCDF involved in the uptake of various di/tripeptides (PubMed:25338022).	Cell inner membrane|Cell membrane|Membrane|Peptide transport|Protein transport|Reference proteome|Transmembrane|Transmembrane helix|Transport
74	14	0.04%	Multidrug resistance protein MdtA	mdtA	The MdtABC tripartite complex confers resistance against novobiocin and deoxycholate.	Cell inner membrane|Cell membrane|Membrane|Reference proteome|Signal|Transport
75	14	0.04%	Vitamin B12 transporter BtuB	btuB	Involved in the active translocation of vitamin B12 (cyanocobalamin) across the outer membrane to the periplasmic space (PubMed:4579869).	3D-structure|Calcium|Cell outer membrane|Direct protein sequencing|Ion transport|Membrane|Metal-binding|Porin|Receptor|Reference proteome|Signal|TonB box|Transmembrane|Transmembrane beta strand|Transport
76	13	0.04%	Chaperone protein DnaK	clpB	Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE.	3D-structure|Acetylation|Alternative initiation|ATP-binding|Chaperone|Coiled coil|Cytoplasm|Direct protein sequencing|Nucleotide-binding|Reference proteome|Repeat|Stress response
77	13	0.04%	Beta-galactosidase	Glb1	Cleaves beta-linked terminal galactosyl residues from gangliosides, glycoproteins, and glycosaminoglycans.	3D-structure|Disulfide bond|Glycoprotein|Glycosidase|Hydrolase|Lysosome|Reference proteome|Signal|Zymogen
78	13	0.04%	Oligopeptide transport ATP-binding protein OppF	oppF	Part of the ABC transporter complex OppABCDF involved in the uptake of oligopeptides (By similarity).	ATP-binding|Cell membrane|Membrane|Nucleotide-binding|Peptide transport|Plasmid|Protein transport|Translocase|Transport
79	13	0.04%	Polyribonucleotide nucleotidyltransferase	pnp	Involved in mRNA degradation.	Cytoplasm|Magnesium|Metal-binding|Nucleotidyltransferase|Reference proteome|Repeat|RNA-binding|Transferase
